addr,rooms,ruler,floor,price,descr
Ձորափի 40,4 սենյակ,180 մ2," հարկ 9/16 , նորակառույց "," Վաճառք - 410,000 $ "," Վաճառվում է կամ վարձակալության է տրվում 4 սենյականոց գրեթե չբնակեցված բնակարան՝ 180 քմ մակերեսով, որը գտնվում է 16 հարկանի նորակառույց մոնոլիտ շենքի 9-րդ հարկում: Բնակարանը երկկողմանի է, ունի գեղեցիկ լուսավորություն, 2 կողմից բաց պատշգամբներ` Հրազդանի կիրճի և քաղաքի հիասքանչ տեսարանով: Բոլոր սենյակները և խոհանոցը ժամանակակից ոճով կահավորված են, դիզայներական լուծումներով կապիտալ վերանորոգված: Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, հատակը ծածկված է որակյալ լամինատով և կերամոգրանիտով։ Ջեռուցումն իրականացվում է կենտրոնացված համակարգով, տեղադրված են օդորակիչներ: Առկա է 3 սանհանգույց, որոնք սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած են բարձրորակ սանտեխնիկայով: Շենքն ապահովված է անվտանգության համակարգով: Առկա է 3 մեքենայի համար նախատեսված ավտոկայանատեղի: Վաճառվում է կահույքի հետ միասին: "
Մաշտոցի պողոտա,2 սենյակ,45 մ2, հարկ 2/4 ," Վաճառք - 155,000 $ "," Վաճառվում է 2 սենյականոց բնակարան՝ 45 ք.մ. մակերեսով, որը գտնվում է Մաշտոցի պոցոտայում՝ Նաիրի կինոթատրոնի հարևանությամբ, 4 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը կապիտալ եվրո վերանորոգված է և չբնակեցված։ Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է օդորակիչ, հատակը ծածկված է լամինատով։ Սանհանգույցը և խոհանոցը պատված են սալիկներով, հագեցած է սանտեխնիկայով: Առաստաղի բարձրությունը 3 մետր է։ Ողջ կահույքն ու տեխնիկան նոր է։ Շենքը շքամուտքով է։ "
Ն. Զարյան,2 սենյակ,62 մ2," հարկ 15/17 , նորակառույց "," Վաճառք - 97,000 $ "," Վաճառվում է 2 սենյականոց լուսավոր բնակարան՝ 62 ք.մ. մակերեսով, որը գտնվում է Ն.Զարյան փողոցում՝ 17 հարկանի նորակառույց էլիտար շենքի 15-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է որակյալ նյութերով: Ջեռուցումը անհատական է։ Սանհանգույցը պատված է սալիկներով, հագեցած է սանտեխնիկայով: Բնակարանն ունի բաց պատշգամբ, որից բացվում է հիանալի տեսարան դեպի քաղաքը: Շենքն ունի շուրջօրյա անվտանգության համակարգ, 3 վերելակ, բարեկարգ բակ և խաղահրապարակ։ Վաճառվում է ողջ կահույքի և տեխնիկայի հետ միասին: "
Մոլդովական,3 սենյակ,79 մ2, հարկ 1/9 ," Վաճառք - 75,000 $ "," Վաճառվում է 3 սենյականոց բնակարան` 79 քմ մակերեսով, որը գտնվում է Մոլդովական փողոցում՝ 9 հարկանի պանելային շենքի 1-ին հարկում: Բնակարանը հիմնովին վերանորոգված է, տեղադրված է անհատական ջեռուցման համակարգ և եվրո պատուհաններ, հատակը սալիկապատված է, սանհանգույցը սալիկապատված է և հագեցած բարձրորակ սանտեխնիկայով: Կա տնտեսական պատշգամբ և խորդանոց՝ որի մուտքը խոհանոցից է: Շենքն ունի անխափան վերելակ: Մոտակայքում կան խանութներ, դպրոց, մանկապարտեզ, զբոսայգի և տարբեր ժամանցի վայրեր: "
Նոր Արեշի 14-րդ,3 սենյակ,118 մ2, հարկ 3/3 ," Վաճառք - 109,000 $ "," Վաճառվում է 3 սենյականոց բնակարան՝118 ք.մ. մակերեսով, որը գտնվում է Նոր Արեշի 14-րդ փողոցում` Երևան սիթիի հարևանությամբ, 3 հարկանի մոնոլիտ շենքի 3-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, հատակը ծածկված է սալիկով։ Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը և խոհանոցը սալիկապատված են, սանհանգույցը հագեցած է սանտեխնիկայով: "
Սիսակյան,3 սենյակ,80 մ2, հարկ 1/4 ," Վաճառք - 70,000 $ "," Վաճառվում է 3 սենյականոց լուսավոր բնակարան` 80 քմ մակերեսով, որը գտնվում է Սիսակյան և Արզումանյան փողոցների խաչմերուկում` 4 հարկանի քարե շենքի 1-ին հարկում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված է անհատական ջեռուցման և օդորակման համակարգ, եվրո պատուհաններ, հատակը ծածկված է մանրահատակով և եվրոպական արտադրության բարձրորակ սալիկներով: Սանհանգույցը և խոհանոցը սալիկապատված են, սանհանգույցը հագեցած է անհրաժեշտ սանտեխնիկայով, խոհանոցը կահավորված է: Առկա է քարե ավտոտնակ: Մոտակայքում կան տարբեր խանութներ, դպրոց, մանկապարտեզ և ժամանցի օբյեկտներ: Վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Մաշտոցի պողոտա 7,3 սենյակ,80 մ2, հարկ 2/5 ," Վաճառք - 160,000 $ "," Վաճառվում է 3 սենյականոց հարմարավետ բնակարան՝ 80 ք.մ. մակերեսով, որը գտնվում է Մեսրոպ Մաշտոցի պողոտայում՝ Սարյան փողոցի խաչմերուկի հատվածում, 5 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է։ Ջեռուցվում է գազի կաթսայի միջոցով, տեղադրված է նաև օդորակիչ։ Պատուհանները փոխված են, հատակը ծածկված է մանրահատակով: Սանհանգույցը և խոհանոցը սալիկապատված են: Խոհանոցում և միջանցքում առկա են ներկառուցված պահարաններ: Շենքն ունի վերելակ և բարեկարգ բակ` խաղահրապարակով: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի վայրերը: "
Հր. Քոչար,3 սենյակ,126 մ2, հարկ 7/14 ," Վաճառք - 195,000 $ "," Վաճառվում է 3 սենյականոց լուսավոր բնակարան` 126 քմ մակերեսով, որը գտնվում է Հր. Քոչար փողոցում՝ 14 հարկանի շենքի 7-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է և չբնակեցված, տեղադրված է ջեռուցման և օդորակման անհատական համակարգ, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով և պրեսգրանիտով: Երկու սանհանգույցները սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած են սանտեխնիկայով: Բնակարանը կահավորված է ժամանակակից կահավորանքով և ապահովված է կենցաղային տեխնիկայով: Ունի գեղեցիկ տեսարանով 2 բացօթյա պատշգամբ: Շենքում գործում է 2 վերելակ, կա անվտանգության համակարգ: Շենքից ոչ հեռու գտնվում է Կոմիտասի շուկան, Լամբադա կամուրջը, բազմազան խանութներ և ժամանցի վայրեր: Բնակարանը վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Հանրապետության 82,3 սենյակ,71 մ2, հարկ 3/4 ," Վաճառք - 160,000 $ "," Հանրապետության և Թումանյան փողոցների խաչմերուկում՝ Կովկաս Պանդոկի հարևանությամբ, վաճառվում է 3 սենյականոց բնակարան՝ 71.3 ք.մ. մակերեսով, որը գտնվում է 4 հարկանի քարե շենքի բնակելի 3-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է որակյալ մանրահատակով և ջեռուցվում է մասնակի։ Խոհանոցը և սանհանգույցը պատված են սալիկներով, հագեցած է սանտեխնիկայով, առկա է 2 ջրի բաք: Ունի բաց պատշգամբ։ Բնակարանը վաճառվում է ողջ գույքի և տեխնիկայի հետ միասին` հավելավճարով։ "
Փ․ Բուզանդ,3 սենյակ,90 մ2," հարկ 10/16 , նորակառույց "," Վաճառք - 310,000 $ "," Վաճառվում կամ վարձով է տրվում 3 սենյականոց շատ նրբաճաշակ և ժամանակակից դիզայնով բնակարան` 90 ք.մ. մակերեսով, որը գտնվում է Բուզանդ փողոցում` նորակառույց այգու հարևանությամբ, 16 հարկանի նորակառույց շենքի 10-րդ հարկում։ Բնակարանը կապիտալ եվրո նորոգված է, ողջ կահույքը և տեխնիկան նոր է, բարձրորակ և շատ հարմարավետ: Ջեռուցում և հովացումը կենտրոնացված է։Սանհանգույցը սալիկապատված է և հագեցած է սանտեխնիկայով: Բնակարանն ունի բաց պատշգամբ: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի վայրերը։ Բնակարանը վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
