addr,rooms,ruler,floor,price,descr,lat,lon
Mashtots avenue,2 room,50 m2," floor 13/13 , new construction "," Sale - 150,000 $ "," This 1 bedroom apartment occupying the last floor of a 13 story building, located on Mashtots ave. of Downtown Yerevan is curretnly for sale/rent. All utilities are available. Additionally, the internet and cable TV have been provided. This 50 sq.m home has been renovated and never furnished, never lived with air conditioning installed. Outdoor parking is available.Viber WhatsApp, Telegram +374-94-101-161 Grigor ",40.1853981,44.51200104
Mashtots avenue,2 room,68 m2, floor 6/11 ," Sale - 150,000 $ "," One - bedroom, one-bathroom apartment on Mashtots - Amiryan crossroads is currently for sale or for long term rent. It covers an area of 68 sq.m. and occupies the 6th floor of a 11-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. An open balcony is available. Supermarket ""Sas"", bank branches and the bus stop are located nearby. ",40.18220101,44.50741705
A. Isahakyan,4 room,180 m2, floor 4/4 ," Sale - 380,000 $ ", Three - bedroom luxurious and spacious duplex apartment on A.Isahakyan street near the cafe Lorange and the cinema KinoNairi is currently for rent or sale. It covers an area of 180 sq.m. and occupies the 3rd floor of a 3 storey building. The apartment is fully renovated. Local heating system is installed. All the rooms are nicely furnished and equipped with the necessary appliances. Cable TV and Internet are available. The apartment has an open balcony. Open air parking is allocated for cars. ,40.18866758,44.51888702
A. Babajanyan,1 room,46 m2, floor 3/9 ," Sale - 41,000 $ "," actual rooms: 2, wall building, needs renovation, sunny, oriel, metal door, hardwood flooring, bathroom tiled, persistent water, electricity, natural gas, outdoor parking, elevator in the building, balcony, bedroom ",40.16671904,44.44003334
V.Papazyan,2 room,55 m2, floor 5/5 ," Sale - 62,500 $ "," actual rooms: 3, stone building, renovated, renovated roof, sunny, furnished, oriel, new wiring, new water tubes, metal door, euro windows, laminate flooring, air conditioner, appliances, built-in kitchen furniture, kitchen tiled, bathroom tiled, built-in wardrobes, persistent water, electricity, natural gas, natural gas boiler, outdoor parking, balcony, bedroom ",40.20024482,44.50465304
Komitas ave.,2 room,66 m2, floor 8/9 ," Sale - 95,000 $ "," For sale or rent is a 2-bedroom, 1-bathroom apartment with an area of 66 sqm on the 8th floor of a 9-story panel building on Komitas Avenue, near Ameria Bank. The apartment is completely renovated, a local heating system is installed, the floor is covered with high-quality laminate. The bathroom is tiled and equipped with plumbing fixtures. The apartment is furnished and equipped with household appliances and accessories, there is Internet and cable TV. The building has an elevator, there is a playground in the courtyard. ",40.20118973,44.49678651
Keri street,3 room,62 m2," floor 14/22 , new construction "," Sale - 100,000 $ "," Two - bedroom, one-bathroom studio apartment on Qeri street is currently for sale. It covers an area of 62 sq.m. and occupies the 14th floor of a 22-story new elite building. The apartment is newly renovated, has a unique design. Centralized heating system is installed alongside with an air conditioner. Floor heating is also is available. The building has a security system, a beautiful and large outdoor pool, a gym, a tennis court, a BBQ kit, a playground. You can find a shop and a restaurant on the 1st floor. ",40.19994055,44.48643795
Adonts,2 room,48 m2," floor 8/8 , new construction "," Sale - 75,000 $ "," One - bedroom, one-bathroom studio apartment on Adonts street in Eraz neighborhood is currently for sale. It covers an area of 48 sq.m. and occupies the 8th floor of a 8-story new building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. An open balcony with a nice view the park is available. The apartment is for sale together with furniture and home appliances. The district is very well-maintained, with a green playground, security system, outdoor and underground parking lots. ",40.21375362,44.52400758
Arami 72,4 room,81 m2," floor 8/14 , new construction "," Sale - 360,000 $ "," For sale is a spacious, bright 3-bedroom, 1-bathroom apartment with an area of 81 sqm on the 8th floor of a 14-story new building on Arami Street, near the new park. The apartment is completely renovated, heated by a gas boiler, air conditioners are installed, the floor in the bedrooms is covered with high-quality laminate, and in the living room - with ceramic granite with heating. The apartment has an open balcony with a beautiful view of the park. The house has 2 elevators and a security system. Near the building there are various shops, entertainment centers, cafes, banks. The apartment is sold with furniture and appliances. ",40.183602,44.50833056
N. Zaryan,3 room,165 m2," floor 5/16 , new construction "," Sale - 270,000 $ "," Two - bedroom, two-bathroom apartment on Zaryan street is currently for sale. It covers an area of 165 sq.m. and occupies the 5th floor of a 16-story new building. The apartment is newly renovated. Centralized heating system is installed along with an air conditioner. 2 open balconies are available. 24 hour security system is installed. The building also has an underground parking and a playground. Park, a grocery store and the bus stop are located nearby. ",40.20380832,44.51646032
Griboyedov,3 room,80 m2, floor 5/5 ," Sale - 83,000 $ "," This 2 bedroom apartment occupying the top floor of a 5 story building, located on Griboyedov of Arabkir Yerevan is currently for rent/sale. All utilities are viable. Additionally, internet and cable Tv are available. This 80 sq.m. apartment has been fully renovated and furnished. Outdoor parking is available. ",40.20686848,44.51399467
V.Papazyan,4 room,94 m2, floor 2/7 ," Sale - 108,000 $ "," For sale or for rent is a 3-bedroom, 2-half-bathroom apartment with an area of 94 sqm on the 2nd floor of a 7-story building of a special project on Vahram Papazyan Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with parquet, laminate and tile. The bathrooms and kitchen are tiled and equipped with plumbing fixtures. The apartment is furnished and equipped with modern household appliances. There are outdoor and indoor balconies. The building has an elevator. Nearby there is a “Yeritsyan Brothers"" supermarket, banks, shops, cafes. Sold with a part of the furniture. ",40.20586993,44.50078215
Mashtots avenue,2 room,84 m2, floor 1/4 ," Sale - 125,000 $ "," Two - bedroom, one-bathroom apartment on Mashtots - Khorenatsi crossroads is currently for sale. It covers an area of 84 sq.m. and occupies the 1st floor of a 4-story building. The apartment is for sale together with an underground parking spot. Market ""Pak Shuka"", bank branches and the bus stop are located nearby. ",40.17696289,44.50416984
Tsitsernakaberd Hwy.,2 room,54 m2, floor 2/5 ," Sale - 57,000 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 54 sqm on the 2nd floor of a 5-story building on Tsitsernakaberd highway. The apartment is in need of repair, a local heating system is installed, the floor is covered with parquet, there is no cladding in the bathroom, there is old plumbing. There is a closed balcony. Nearby there are Dalma Mall, ""Hrazdan"" fair and entertainment venues. ",40.17824536,44.49267017
Arami,3 room,132 m2," floor 2/8 , new construction "," Sale - 345,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 132 sqm on the 2nd floor of an 8-story building near Arami Street, near Malibu Park. The apartment is completely renovated, connected to central heating and cooling systems, the floor is covered with high-quality hardwood and tiles. Both bathrooms are tiled and equipped with plumbing fixtures. There are built-in wardrobes. The rooms and kitchen are beautifully furnished, equipped with appliances and accessories. The building has 2 elevators, an intercom and a security system. Nearby there are shops, banks, a park and entertainment venues. The apartment is sold with furniture and household appliances. ",40.18009397,44.51254694
M.Saryan,2 room,68 m2, floor 3/9 ," Sale - 97,900 $ "," For sale is а 1-bedroom,1-bathroom apartment with an area of 68 sqm on the 3rd floor of a 9-story panel house near the intersection of Saryan and Amiryan Street. The apartment is in need of renovation, the floor is covered with hardwood. There is an open balcony. The building has a new elevator. The house is located in one of the best areas of the city, there are shops, cafes and entertainment venues nearby. ",40.18004658,44.50486742
Komitas ave.,3 room,85 m2, floor 5/14 ," Sale - 97,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 85 sqm on the 5th floor of a 14-story building on V. Papazyan Street near Komitas Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate and tiles. The bathroom is tiled and equipped with plumbing fixtures. There is a storage room. The apartment has a lot of built-in closets. The building has an elevator. There is a children's playground in the courtyard. Various shops and entertainment venues are located nearby. ",40.20428939,44.50358365
Pushkin,2 room,65 m2, floor 9/9 ," Sale - 114,900 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 65 sqm on the 9th floor of a 9-story building at the intersection of Pushkin and Parpetsi streets. The apartment has recently been thoroughly renovated with taste, it is not inhabited, a local heating system is installed, the floor is covered with high-quality laminate and tiles. The bathroom is tiled and equipped with plumbing fixtures. There is an attic. The building has an elevator and an intercom system. Near the house there are a church, shops, a school, and entertainment venues. ",40.18574334,44.50943836
Tigran Mets ave.,3 room,79 m2, floor 3/5 ," Sale - 66,400 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 79 sqm on the 3rd floor of a 5-story building on Tigran the Great Avenue, in the 1st lane, not far from the Petak fair. The apartment is in need of repair, the floor is covered with parquet and tiles. The building has an intercom system. Near the house there are shops, a school and transport stops. ",40.165652,44.512636
Charents 70/8,4 room,343 m2," floor 13/13 , new construction "," Sale - 549,000 $ "," There - bedroom, four-bathroom penthouse apartment on Charents street is currently for sale. It covers an area of 343 sq.m. and occupies the 13th floor of a 13-story new building. A terrace with a nice view of mount Ararat is available. ",40.173163,44.526731
Charents 70/8,8 room,695 m2," floor 13/13 , new construction "," Sale - 1,043,000 $ "," 7 - bedroom, 8-bathroom penthouse apartment on Charents street is currently for sale. It covers an area of 695 sq.m. and occupies the 13th floor of a 13-story new building. A terrace with a nice view of mount Ararat is available. ",40.176388,44.527342
Northern av.,4 room,680 m2," floor 9/9 , new construction "," Sale - 2,500,000 $ "," 3 - bedroom, 5-bathroom unique and spacious apartment on Northern Avenue, next to the Opera House and Swan Lake is currently for sale. It covers an area of 610 sq.m. and occupies the 9th floor of a 9-story new building. The living space of the apartment covers an area of 300 sq.m and the terrace covers an area of 380sq.m. The apartment is fully renovated according to the latest European standards. All rooms have panoramic windows and separate bathrooms. Centralized heating and air conditioning system is installed. All the rooms and kitchen are furnished with modern and original furniture and are full of inbuilt wardrobes. The apartment also has a laundry room and a separate wardrobe. ",40.18096647,44.51403364
Teryan 66,4 room,192 m2," floor 10/13 , new construction "," Sale - 720,000 $ "," Three - bedroom spacious apartment on Teryan street in the building of ""Debenhams"" shop is currently for sale. It covers an area of 192 sq.m. and occupies the 10th floor of the new residential 13 storey building.The apartment is renovated. Centralized heating and conditioning system is installed. All the rooms are furnished and equipped with the necessary appliances. Inbuilt wardrobes are available. The building has a round - to - clock security system. Underground parking is allocated for cars. A close swimming pool and a gym are offered to the residents of the building free of charge. The park, supermarket ""SAS"", school after A.Pushkin, Yerevan State Medical University, shops, cafes, restaurants, theatres and other entertainment centers are located nearby. ",40.18795403,44.52147604
Northern av.,3 room,200 m2," floor 3/9 , new construction "," Sale - 990,000 $ "," Two - bedroom, two-bathroom apartment on Northern Avenue is currently for sale. It covers an area of 200 sq.m. and occupies the 3rd floor of a 9-story new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. An open balcony with a nice view of Northern Avenue is available. The apartment is for sale together with furniture and home appliances. 3 underground parking spots with an area of 60 sq.m. will be provided. Numerous shops, bank branches, cafes and restaurants are located nearby. ",40.18126698,44.51404188
Abovyan,1 room,54 m2, floor 9/12 ," Sale - 127,000 $ "," For sale or for rent is a 1-bathroom stylish studio apartment with an area of 54 sqm on the 9th floor of a 12-story building on Abovyan Street, near Northern Avenue. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate. The building has an elevator and an intercom. Not far from the house there are banks, shops, cafes, places of recreation and entertainment. Sold with furniture and appliances. ",40.179916,44.51525
Fuchik,3 room,63 m2, floor 2/5 ," Sale - 65,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 63 sqm on the 2nd floor of a 5-story stone house at the intersection of Fuchik and Margaryan streets. The apartment is completely renovated, the floor is covered with laminate and tiles, the local heating system is installed. The bathroom is tiled, equipped with plumbing. The apartment is sold with kitchen furniture and built-in closets. Near the house there are schools, shops, other educational institutions, a transport stop. On the ground floor there is a privatized plot of 25 sqm, which can be used for commercial purposes. ",40.20542145,44.47611052
Erebuni,4 room,99 m2, floor 3/5 ," Sale - 93,000 $ "," For sale is а 3-bedroom, 1-bathroom spacious apartment with an area of 99 sqm on the 4th floor of a 5-story stone building on Erebuni Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with high-quality laminate. The apartment is furnished and equipped with household appliances. The bathroom is tiled and equipped with plumbing fixtures. There is an open balcony. Nearby there are shops, entertainment venues, a school, a kindergarten. The apartment is sold furnished. ",40.14193811,44.52851876
N. Zaryan,4 room,220 m2," floor 13/16 , new construction "," Sale - 330,000 $ "," Three - bedroom spacious apartment on Zaryan street near the ""DDD"" pool is currently for sale. It covers an area of 220 sq.m. and occupies the 13th floor of a new residential 16 storey building. The apartment is not renovated. Centralized heating system is installed. The building has an underground parking. ",40.20365799,44.51716402
Moldavakan,3 room,78 m2, floor 1/9 ," Sale - 67,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 78 sqm on the 1st floor of a 9-story panel building on Moldovakan Street. The apartment has an old overhaul, a local heating system is installed, the floor is covered with parquet and tiles. Both bathrooms are tiled and equipped with plumbing, the rooms and the kitchen are comfortably furnished, there is a basement of 10 sqm with an entrance from the apartment. There is an outdoor parking in the courtyard. Nearby they are the ""Sport Hills"" complex, various shops, a school, a transport stop. ",40.20637052,44.5690689
Mashtots avenue,3 room,93 m2, floor 4/4 ," Sale - 270,000 $ "," For sale is a bright 2-bedroom, 1-bathroom apartment with an area of 93 sqm on the 4th floor of a 4-story stone building on Mashtots Avenue, near the Nairi cinema. The building has historical and cultural value, the roof is completely renovated. The apartment is completely renovated, an individual heating system is installed, the floor is covered with parquet and tiles, the kitchen and bathroom are tiled and equipped with plumbing. There are 2 open balconies overlooking the street. The apartment is comfortably furnished and equipped with household appliances. There is a garage for 2 cars. Nearby there are banks, shops, cafes and entertainment venues. ",40.18890296,44.51759704
Northern av.,2 room,70 m2," floor 11/11 , new construction "," Sale - 240,000 $ "," One - bedroom, two-bathroom apartment on Northern Avenue is currently for sale. It covers an area of 70 sq.m. and occupies the 11th floor of a 11-story new building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. An open balcony with a nice view is available. The apartment is for sale together with furniture and home appliances. Numerous shops, bank branches, restaurants and cafes are located nearby. ",40.18133244,44.51420274
Buzand,4 room,106 m2," floor 13/16 , new construction "," Sale - 265,000 $ "," Three - bedroom, two-bathroom apartment on Buzand street, next to the park ""New Yerevan"" is currently for sale. It covers an area of 106 sq.m. and occupies the 13th floor of a 16-story new building. An open balcony is available. With an additional payment you can also buy an underground parking spot. ",40.183092,44.506465
Buzand,2 room,46 m2," floor 8/16 , new construction "," Sale - 180,000 $ "," in situ concrete, renovated, security system, security worker, sunny, furnished, new wiring, new water tubes, metal door, euro windows, laminate flooring, appliances, built-in kitchen furniture, kitchen tiled, bathroom tiled, persistent water, electricity, natural gas, internet, cable tv, centralized heating, elevator in the building, intercom, bedroom ",40.17991524,44.51142946
Buzand,1 room,43 m2," floor 5/15 , new construction "," Sale - 180,000 $ "," One - bedroom cozy modern apartment on Buzand street is currently for sale or rent. It covers an area of 43 sq.m. and occupies the 5th floor of a new residential 15 storey building. The apartment is renovated. Centralized heating is installed. All the rooms are furnished and equipped with the necessary appliances. Numerous shops, a supermarket, cafes and other entertainment centers are located neary. ",40.17982507,44.51136508
