,addr,ruler,lat,lon,num_rooms,num_floor,num_price,text,dominant_topic,topic_percentage_contrib,sale_category,house_prices,currency,house_prices_usd
0,Mashtots avenue,fifty square metres,40.1853981,44.51200104,2 room,"  13/13 , new construction ","Sale-150,000$",Mashtots avenue two room fifty square metres  floor thirteenth/thirteenth   new construction  Sale-150000$ This bedroom apartment occupying last floor story building located Mashtots Downtown Yerevan curretnly All utility available Additionally internet cable TV provided This home renovated never furnished never lived air conditioning installed Outdoor parking WhatsApp Telegram Grigor ,2.0,0.9836000204086304,Sale,150000.0,$,150000.0
1,Mashtots avenue,sixty-eight square metres,40.18220101,44.50741705,2 room,  6/11 ,"Sale-150,000$",Mashtots avenue two room sixty-eight square metres  floor sixth/eleventh  Sale-150000$ One bedroom apartment Mashtots Amiryan crossroad currently sale long term rent It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner An open balcony available Supermarket Sas bank branch bus stop located nearby ,2.0,0.9839000105857849,Sale,150000.0,$,150000.0
2,A  Isahakyan,one hundred and eighty square metres,40.18866758,44.51888702,4 room,  4/4 ,"Sale-380,000$",A  Isahakyan four room one hundred and eighty square metres  floor fourth/fourth  Sale-380000$ Three bedroom luxurious spacious duplex apartment street near cafe Lorange cinema KinoNairi currently rent sale It cover area occupies rd floor storey building The apartment fully renovated Local heating system installed All room nicely furnished equipped necessary appliance Cable TV Internet available The apartment open balcony Open air parking allocated car ,2.0,0.9858999848365784,Sale,380000.0,$,380000.0
3,A  Babajanyan,forty-six square metres,40.16671904,44.44003334,1 room,  3/9 ,"Sale-41,000$",A  Babajanyan one room forty-six square metres  floor third/ninth  Sale-41000$ actual room wall building need renovation sunny oriel metal door hardwood flooring bathroom tiled persistent water electricity natural gas outdoor parking elevator building balcony bedroom ,0.0,0.9771000146865845,Sale,41000.0,$,41000.0
4,V Papazyan,fifty-five square metres,40.20024482,44.50465304,2 room,  5/5 ,"Sale-62,500$",V Papazyan two room fifty-five square metres  floor fifth/fifth  Sale-62500$ actual room stone building renovated renovated roof sunny furnished oriel new wiring new water tube metal door euro window laminate flooring air conditioner appliance kitchen furniture kitchen tiled bathroom tiled wardrobe persistent water electricity natural gas natural gas boiler outdoor parking balcony bedroom ,0.0,0.98580002784729,Sale,62500.0,$,62500.0
5,Komitas ave ,sixty-six square metres,40.20118973,44.49678651,2 room,  8/9 ,"Sale-95,000$",Komitas ave  two room sixty-six square metres  floor eighth/ninth  Sale-95000$ For sale rent apartment area sqm th floor panel building Komitas Avenue near Ameria Bank The apartment completely renovated local heating system installed floor covered laminate The bathroom tiled equipped plumbing fixture The apartment furnished equipped household appliance accessory Internet cable TV The building elevator playground courtyard ,0.0,0.9848999977111816,Sale,95000.0,$,95000.0
6,Keri street,sixty-two square metres,40.19994055,44.48643795,3 room,"  14/22 , new construction ","Sale-100,000$",Keri street three room sixty-two square metres  floor fourteenth/twenty-second   new construction  Sale-100000$ Two bedroom studio apartment Qeri street currently sale It cover area occupies th floor new elite building The apartment newly renovated unique design Centralized heating system installed alongside air conditioner Floor heating also available The building security system beautiful large outdoor pool gym tennis court BBQ kit playground You find shop restaurant st floor ,2.0,0.9868000149726868,Sale,100000.0,$,100000.0
7,Adonts,forty-eight square metres,40.21375362,44.52400758,2 room,"  8/8 , new construction ","Sale-75,000$",Adonts two room forty-eight square metres  floor eighth/eighth   new construction  Sale-75000$ One bedroom studio apartment Adonts street Eraz neighborhood currently sale It cover area occupies th floor new building The apartment newly renovated Local heating system installed alongside air conditioner An open balcony nice view park available The apartment sale together furniture home appliance The district green playground security system outdoor underground parking lot ,2.0,0.8981999754905701,Sale,75000.0,$,75000.0
8,Arami 72,eighty-one square metres,40.183602,44.50833056,4 room,"  8/14 , new construction ","Sale-360,000$",Arami 72 four room eighty-one square metres  floor eighth/fourteenth   new construction  Sale-360000$ For sale spacious bright apartment area sqm th floor new building Arami Street near new park The apartment completely renovated heated gas boiler air conditioner installed floor bedroom covered laminate living room ceramic granite heating The apartment open balcony beautiful view park The house elevator security system Near building various shop entertainment center cafe bank The apartment sold furniture appliance ,1.0,0.7989000082015991,Sale,360000.0,$,360000.0
9,N  Zaryan,one hundred and sixty-five square metres,40.20380832,44.51646032,3 room,"  5/16 , new construction ","Sale-270,000$",N  Zaryan three room one hundred and sixty-five square metres  floor fifth/sixteenth   new construction  Sale-270000$ Two bedroom apartment Zaryan street currently sale It cover area occupies th floor new building The apartment newly renovated Centralized heating system installed along air conditioner open balcony available hour security system installed The building also underground parking playground Park grocery store bus stop located nearby ,2.0,0.9855999946594238,Sale,270000.0,$,270000.0
10,Griboyedov,eighty square metres,40.20686848,44.51399467,3 room,  5/5 ,"Sale-83,000$",Griboyedov three room eighty square metres  floor fifth/fifth  Sale-83000$ This bedroom apartment occupying top floor story building located Griboyedov Arabkir Yerevan currently All utility viable Additionally internet cable Tv available This apartment fully renovated furnished Outdoor parking available ,2.0,0.6636000275611877,Sale,83000.0,$,83000.0
11,V Papazyan,ninety-four square metres,40.20586993,44.50078215,4 room,  2/7 ,"Sale-108,000$",V Papazyan four room ninety-four square metres  floor second/seventh  Sale-108000$ For sale rent apartment area sqm nd floor building special project Vahram Papazyan Street The apartment completely renovated local heating system installed floor covered parquet laminate tile The bathroom kitchen tiled equipped plumbing fixture The apartment furnished equipped modern household appliance There outdoor indoor balcony The building elevator Nearby Yeritsyan Brothers supermarket bank shop cafe Sold part furniture ,0.0,0.987500011920929,Sale,108000.0,$,108000.0
12,Mashtots avenue,eighty-four square metres,40.17696289,44.50416984,2 room,  1/4 ,"Sale-125,000$",Mashtots avenue two room eighty-four square metres  floor first/fourth  Sale-125000$ Two bedroom apartment Mashtots Khorenatsi crossroad currently sale It cover area occupies st floor building The apartment sale together underground parking spot Market Pak Shuka bank branch bus stop located nearby ,2.0,0.979200005531311,Sale,125000.0,$,125000.0
13,Tsitsernakaberd Hwy ,fifty-four square metres,40.17824536,44.49267017,2 room,  2/5 ,"Sale-57,000$",Tsitsernakaberd Hwy  two room fifty-four square metres  floor second/fifth  Sale-57000$ For sale apartment area sqm nd floor building Tsitsernakaberd highway The apartment need repair local heating system installed floor covered parquet cladding bathroom old plumbing There closed balcony Nearby Dalma Mall Hrazdan fair entertainment venue ,0.0,0.9807000160217285,Sale,57000.0,$,57000.0
14,Arami,one hundred and thirty-two square metres,40.18009397,44.51254694,3 room,"  2/8 , new construction ","Sale-345,000$",Arami three room one hundred and thirty-two square metres  floor second/eighth   new construction  Sale-345000$ For sale apartment area sqm nd floor building near Arami Street near Malibu Park The apartment completely renovated connected central heating cooling system floor covered hardwood tile Both bathroom tiled equipped plumbing fixture There wardrobe The room kitchen beautifully furnished equipped appliance accessory The building elevator intercom security system Nearby shop bank park entertainment venue The apartment sold furniture household appliance ,0.0,0.5680000185966492,Sale,345000.0,$,345000.0
15,M Saryan,sixty-eight square metres,40.18004658,44.50486742,2 room,  3/9 ,"Sale-97,900$",M Saryan two room sixty-eight square metres  floor third/ninth  Sale-97900$ For sale а apartment area sqm rd floor panel house near intersection Saryan Amiryan Street The apartment need renovation floor covered hardwood There open balcony The building new elevator The house located one best area city shop cafe entertainment venue nearby ,0.0,0.7943000197410583,Sale,97900.0,$,97900.0
16,Komitas ave ,eighty-five square metres,40.20428939,44.50358365,3 room,  5/14 ,"Sale-97,000$",Komitas ave  three room eighty-five square metres  floor fifth/fourteenth  Sale-97000$ For sale apartment area sqm th floor building Papazyan Street near Komitas Avenue The apartment completely renovated local heating air conditioning system installed floor covered laminate tile The bathroom tiled equipped plumbing fixture There storage room The apartment lot closet The building elevator There child playground courtyard Various shop entertainment venue located nearby ,0.0,0.9851999878883362,Sale,97000.0,$,97000.0
17,Pushkin,sixty-five square metres,40.18574334,44.50943836,2 room,  9/9 ,"Sale-114,900$",Pushkin two room sixty-five square metres  floor ninth/ninth  Sale-114900$ For sale apartment area sqm th floor building intersection Pushkin Parpetsi street The apartment recently thoroughly renovated taste inhabited local heating system installed floor covered laminate tile The bathroom tiled equipped plumbing fixture There attic The building elevator intercom system Near house church shop school entertainment venue ,1.0,0.9477999806404114,Sale,114900.0,$,114900.0
18,Tigran Mets ave ,seventy-nine square metres,40.165652,44.512636,3 room,  3/5 ,"Sale-66,400$",Tigran Mets ave  three room seventy-nine square metres  floor third/fifth  Sale-66400$ For sale apartment area sqm rd floor building Tigran Great Avenue st lane far Petak fair The apartment need repair floor covered parquet tile The building intercom system Near house shop school transport stop ,0.0,0.9804999828338623,Sale,66400.0,$,66400.0
19,Charents 70 8,three hundred and forty-three square metres,40.173163,44.526731,4 room,"  13/13 , new construction ","Sale-549,000$",Charents 70 8 four room three hundred and forty-three square metres  floor thirteenth/thirteenth   new construction  Sale-549000$ There bedroom penthouse apartment Charents street currently sale It cover area occupies th floor new building A terrace nice view mount Ararat available ,2.0,0.975600004196167,Sale,549000.0,$,549000.0
20,Charents 70 8,six hundred and ninety-five square metres,40.176388,44.527342,8 room,"  13/13 , new construction ","Sale-1,043,000$",Charents 70 8 eight room six hundred and ninety-five square metres  floor thirteenth/thirteenth   new construction  Sale-1043000$ bedroom penthouse apartment Charents street currently sale It cover area occupies th floor new building A terrace nice view mount Ararat available ,2.0,0.9754999876022339,Sale,1043000.0,$,1043000.0
21,Northern av ,six hundred and eighty square metres,40.18096647,44.51403364,4 room,"  9/9 , new construction ","Sale-2,500,000$",Northern av  four room six hundred and eighty square metres  floor ninth/ninth   new construction  Sale-2500000$ bedroom unique spacious apartment Northern Avenue next Opera House Swan Lake currently sale It cover area occupies th floor new building The living space apartment cover area terrace cover area The apartment fully renovated according latest European standard All room panoramic window separate bathroom Centralized heating air conditioning system installed All room kitchen furnished modern original furniture full inbuilt wardrobe The apartment also laundry room separate wardrobe ,2.0,0.8539000153541565,Sale,2500000.0,$,2500000.0
22,Teryan 66,one hundred and ninety-two square metres,40.18795403,44.52147604,4 room,"  10/13 , new construction ","Sale-720,000$",Teryan 66 four room one hundred and ninety-two square metres  floor tenth/thirteenth   new construction  Sale-720000$ Three bedroom spacious apartment Teryan street building Debenhams shop currently sale It cover area occupies th floor new residential storey apartment renovated Centralized heating conditioning system installed All room furnished equipped necessary appliance Inbuilt wardrobe available The building round clock security system Underground parking allocated car A close swimming pool gym offered resident building free charge The park supermarket SAS school Yerevan State Medical University shop cafe restaurant theatre entertainment center located nearby ,2.0,0.9900000095367432,Sale,720000.0,$,720000.0
23,Northern av ,two hundred square metres,40.18126698,44.51404188,3 room,"  3/9 , new construction ","Sale-990,000$",Northern av  three room two hundred square metres  floor third/ninth   new construction  Sale-990000$ Two bedroom apartment Northern Avenue currently sale It cover area occupies rd floor new building The apartment newly renovated Centralized heating air conditioning system installed An open balcony nice view Northern Avenue available The apartment sale together furniture home appliance underground parking spot area provided Numerous shop bank branch cafe restaurant located nearby ,2.0,0.9868000149726868,Sale,990000.0,$,990000.0
24,Abovyan,fifty-four square metres,40.179916,44.51525,1 room,  9/12 ,"Sale-127,000$",Abovyan one room fifty-four square metres  floor ninth/twelfth  Sale-127000$ For sale rent stylish studio apartment area sqm th floor building Abovyan Street near Northern Avenue The apartment completely renovated local heating air conditioning system installed floor covered laminate The building elevator intercom Not far house bank shop cafe place recreation entertainment Sold furniture appliance ,1.0,0.586899995803833,Sale,127000.0,$,127000.0
